name,recclass,mass,fall,year,id,latitude,longitude
Meridiani Planum,"Iron, IAB complex",,Found,2005,32789,-1.94617,354.47333
Egvekinot,"Iron, IAB-sLM",10000,Found,1970,7773,66.8,178.2
Waingaromia,"Iron, IIIAB",9200,Found,1915,24198,-38.25,178.08333
Kimbolton,H4,7500,Found,1976,12312,-40.07139,175.73028
Wairarapa Valley,H6,6000,Found,1863,24199,-41.31667,175.13333
Grosvenor Mountains 95500,L6,10000,Found,1995,11228,-85.66667,175
Grosvenor Mountains 95501,L6,8000,Found,1995,11229,-85.66667,175
Grosvenor Mountains 95502,L3.2,5362.7,Found,1995,11230,-85.66667,175
Grosvenor Mountains 95503,L6,4801.5,Found,1995,11231,-85.66667,175
Grosvenor Mountains 85213,L6,4364.4,Found,1985,11222,-85.66667,175
Grosvenor Mountains 95504,L3.5,4018.3,Found,1995,11232,-85.66667,175
Grosvenor Mountains 85200,H5,3821.6,Found,1985,11209,-85.66667,175
Grosvenor Mountains 85206,H5,2420.1,Found,1985,11215,-85.66667,175
Grosvenor Mountains 85207,L6,2372.1,Found,1985,11216,-85.66667,175
Grosvenor Mountains 95505,L3.4,2031,Found,1995,11233,-85.66667,175
Grosvenor Mountains 85204,L6,1754.7,Found,1985,11213,-85.66667,175
Grosvenor Mountains 85203,H5,1450.4,Found,1985,11212,-85.66667,175
Grosvenor Mountains 85201,"Iron, IIIAB",1400.7,Found,1985,11210,-85.66667,175
Grosvenor Mountains 85208,L6,1356.9,Found,1985,11217,-85.66667,175
Grosvenor Mountains 95518,H4,1342.4,Found,1995,11246,-85.66667,175
Grosvenor Mountains 95508,L6,1271.6,Found,1995,11236,-85.66667,175
Grosvenor Mountains 95506,H5,1194.5,Found,1995,11234,-85.66667,175
Grosvenor Mountains 85209,L6,1126.1,Found,1985,11218,-85.66667,175
Grosvenor Mountains 95510,L6,1097.3,Found,1995,11238,-85.66667,175
Grosvenor Mountains 95509,H5,1014,Found,1995,11237,-85.66667,175
Grosvenor Mountains 95507,H6,1000,Found,1995,11235,-85.66667,175
Grosvenor Mountains 85205,L6,999.9,Found,1985,11214,-85.66667,175
Grosvenor Mountains 95522,"Iron, IIIAB",962.5,Found,1995,11250,-85.66667,175
Grosvenor Mountains 95513,L6,851.7,Found,1995,11241,-85.66667,175
Grosvenor Mountains 95514,L6,846.4,Found,1995,11242,-85.66667,175
Grosvenor Mountains 95512,L3.5,840.4,Found,1995,11240,-85.66667,175
Grosvenor Mountains 95531,L6,723.3,Found,1995,11259,-85.66667,175
Grosvenor Mountains 95519,H5,682.3,Found,1995,11247,-85.66667,175
Grosvenor Mountains 95515,L4,663.6,Found,1995,11243,-85.66667,175
Grosvenor Mountains 95520,H5,641.4,Found,1995,11248,-85.66667,175
Grosvenor Mountains 95544,L3.2,626,Found,1995,11272,-85.66667,175
Grosvenor Mountains 95533,Eucrite-br,613.2,Found,1995,11261,-85.66667,175
Grosvenor Mountains 95530,L5,603.4,Found,1995,11258,-85.66667,175
Grosvenor Mountains 95517,EH3,574,Found,1995,11245,-85.66667,175
Grosvenor Mountains 95516,H6,456.8,Found,1995,11244,-85.66667,175
Grosvenor Mountains 95521,H5,451.5,Found,1995,11249,-85.66667,175
Grosvenor Mountains 95523,L6,402,Found,1995,11251,-85.66667,175
Grosvenor Mountains 95527,L4,400.8,Found,1995,11255,-85.66667,175
Grosvenor Mountains 95524,H5,360.9,Found,1995,11252,-85.66667,175
Grosvenor Mountains 95528,L6,358.6,Found,1995,11256,-85.66667,175
Grosvenor Mountains 85211,H5,355.3,Found,1985,11220,-85.66667,175
Grosvenor Mountains 95538,H5,353.3,Found,1995,11266,-85.66667,175
Grosvenor Mountains 95532,H6,348.4,Found,1995,11260,-85.66667,175
Grosvenor Mountains 85212,L4,342.2,Found,1985,11221,-85.66667,175
Grosvenor Mountains 95536,L3.3,331.2,Found,1995,11264,-85.66667,175
Grosvenor Mountains 95526,L6,299.9,Found,1995,11254,-85.66667,175
Grosvenor Mountains 95637,L6,293,Found,1995,11363,-85.66667,175
Grosvenor Mountains 95525,H6,291.6,Found,1995,11253,-85.66667,175
Grosvenor Mountains 95547,H6,281.5,Found,1995,11275,-85.66667,175
Grosvenor Mountains 95542,L3,276.7,Found,1995,11270,-85.66667,175
Grosvenor Mountains 95539,L3.1,269.8,Found,1995,11267,-85.66667,175
Grosvenor Mountains 95541,H4,265.2,Found,1995,11269,-85.66667,175
Grosvenor Mountains 95564,L6,264.2,Found,1995,11292,-85.66667,175
Grosvenor Mountains 95562,L6,260.5,Found,1995,11290,-85.66667,175
Grosvenor Mountains 85214,L5,259.8,Found,1985,11223,-85.66667,175
Grosvenor Mountains 95537,H5,258.9,Found,1995,11265,-85.66667,175
Grosvenor Mountains 95540,L5,255.1,Found,1995,11268,-85.66667,175
Grosvenor Mountains 95529,L5,250.6,Found,1995,11257,-85.66667,175
Grosvenor Mountains 95555,Diogenite-an,250.6,Found,1995,11283,-85.66667,175
Grosvenor Mountains 85210,H5,246.8,Found,1985,11219,-85.66667,175
Grosvenor Mountains 95561,H6,236.3,Found,1995,11289,-85.66667,175
Grosvenor Mountains 95560,H6,233.7,Found,1995,11288,-85.66667,175
Grosvenor Mountains 95548,L6,229.6,Found,1995,11276,-85.66667,175
Grosvenor Mountains 95543,L6,222.9,Found,1995,11271,-85.66667,175
Grosvenor Mountains 95553,L6,215.7,Found,1995,11281,-85.66667,175
Grosvenor Mountains 95551,Chondrite-ung,213.4,Found,1995,11279,-85.66667,175
Grosvenor Mountains 95563,L6,209.4,Found,1995,11291,-85.66667,175
Grosvenor Mountains 95558,L3,202.4,Found,1995,11286,-85.66667,175
Grosvenor Mountains 95559,H4,202.2,Found,1995,11287,-85.66667,175
Grosvenor Mountains 95554,H6,201.9,Found,1995,11282,-85.66667,175
Grosvenor Mountains 95546,L3.8,200.8,Found,1995,11274,-85.66667,175
Grosvenor Mountains 95557,LL5,199.1,Found,1995,11285,-85.66667,175
Grosvenor Mountains 95627,L6,186.5,Found,1995,11354,-85.66667,175
Grosvenor Mountains 95552,LL4,182,Found,1995,11280,-85.66667,175
Grosvenor Mountains 95549,L5,180.3,Found,1995,11277,-85.66667,175
Grosvenor Mountains 95550,L3,170,Found,1995,11278,-85.66667,175
Grosvenor Mountains 95556,LL6,169.8,Found,1995,11284,-85.66667,175
Grosvenor Mountains 95565,L5,167.5,Found,1995,11293,-85.66667,175
Grosvenor Mountains 95620,L5,161.3,Found,1995,11348,-85.66667,175
Grosvenor Mountains 95579,L5,158.7,Found,1995,11307,-85.66667,175
Grosvenor Mountains 95601,H6,156.2,Found,1995,11329,-85.66667,175
Grosvenor Mountains 95567,L6,154.5,Found,1995,11295,-85.66667,175
Grosvenor Mountains 95604,L6,153.2,Found,1995,11332,-85.66667,175
Grosvenor Mountains 95595,L6,148.1,Found,1995,11323,-85.66667,175
Grosvenor Mountains 95570,H6,146.2,Found,1995,11298,-85.66667,175
Grosvenor Mountains 95545,L3.5,142.1,Found,1995,11273,-85.66667,175
Grosvenor Mountains 95568,L6,139.7,Found,1995,11296,-85.66667,175
Grosvenor Mountains 95584,H5,138.3,Found,1995,11312,-85.66667,175
Grosvenor Mountains 95575,Ureilite,137.77,Found,1995,11303,-85.66667,175
Grosvenor Mountains 95660,L6,131.6,Found,1995,11386,-85.66667,175
Grosvenor Mountains 95589,L6,127.8,Found,1995,11317,-85.66667,175
Grosvenor Mountains 95665,L6,127.3,Found,1995,11391,-85.66667,175
Grosvenor Mountains 95636,L6,125.9,Found,1995,11362,-85.66667,175
Grosvenor Mountains 95590,LL4,125.8,Found,1995,11318,-85.66667,175
Grosvenor Mountains 95616,H4,122.6,Found,1995,11344,-85.66667,175
Grosvenor Mountains 95634,L6,119.8,Found,1995,11360,-85.66667,175
Grosvenor Mountains 95587,H6,117.7,Found,1995,11315,-85.66667,175
Grosvenor Mountains 95629,L6,113.3,Found,1995,11356,-85.66667,175
Grosvenor Mountains 95662,L6,112,Found,1995,11388,-85.66667,175
Grosvenor Mountains 95588,L6,111.2,Found,1995,11316,-85.66667,175
Grosvenor Mountains 95591,L6,111.2,Found,1995,11319,-85.66667,175
Grosvenor Mountains 95615,H6,110.5,Found,1995,11343,-85.66667,175
Grosvenor Mountains 95583,L6,108.2,Found,1995,11311,-85.66667,175
Grosvenor Mountains 95577,CR1,106.2,Found,1995,11305,-85.66667,175
Grosvenor Mountains 95648,L6,93.8,Found,1995,11374,-85.66667,175
Grosvenor Mountains 95651,H6,93.5,Found,1995,11377,-85.66667,175
Grosvenor Mountains 95652,CV3,93.33,Found,1995,11378,-85.66667,175
Grosvenor Mountains 95586,H5,92.8,Found,1995,11314,-85.66667,175
Grosvenor Mountains 95638,L6,90.9,Found,1995,11364,-85.66667,175
Grosvenor Mountains 95574,Howardite,90.62,Found,1995,11302,-85.66667,175
Grosvenor Mountains 95664,H5,89.7,Found,1995,11390,-85.66667,175
Grosvenor Mountains 95573,H6,89.6,Found,1995,11301,-85.66667,175
Grosvenor Mountains 95649,L6,89.1,Found,1995,11375,-85.66667,175
Grosvenor Mountains 95585,L6,88.6,Found,1995,11313,-85.66667,175
Grosvenor Mountains 95625,H5,88.6,Found,1995,11352,-85.66667,175
Grosvenor Mountains 95592,H5,86.4,Found,1995,11320,-85.66667,175
Grosvenor Mountains 95572,L5,84.8,Found,1995,11300,-85.66667,175
Grosvenor Mountains 95650,L6,84.3,Found,1995,11376,-85.66667,175
Grosvenor Mountains 95639,L6,82.3,Found,1995,11365,-85.66667,175
Grosvenor Mountains 95631,L6,79.6,Found,1995,11358,-85.66667,175
Grosvenor Mountains 95594,L6,77.3,Found,1995,11322,-85.66667,175
Grosvenor Mountains 95597,L6,76.9,Found,1995,11325,-85.66667,175
Grosvenor Mountains 95599,H5,75.7,Found,1995,11327,-85.66667,175
Grosvenor Mountains 95635,L6,75.5,Found,1995,11361,-85.66667,175
Grosvenor Mountains 95580,H5,75.1,Found,1995,11308,-85.66667,175
Grosvenor Mountains 95668,H5,72.3,Found,1995,11393,-85.66667,175
Grosvenor Mountains 95630,L6,71.5,Found,1995,11357,-85.66667,175
Grosvenor Mountains 95607,H6,71.4,Found,1995,11335,-85.66667,175
Grosvenor Mountains 95654,H6,67.1,Found,1995,11380,-85.66667,175
Grosvenor Mountains 95666,L6,66.5,Found,1995,11392,-85.66667,175
Grosvenor Mountains 95511,"Iron, IAB-sLL",64.4,Found,1995,11239,-85.66667,175
Grosvenor Mountains 95653,L6,59,Found,1995,11379,-85.66667,175
Grosvenor Mountains 95613,LL4,58.8,Found,1995,11341,-85.66667,175
Grosvenor Mountains 95633,Howardite,58.1,Found,1995,11359,-85.66667,175
Grosvenor Mountains 95658,LL3.3,57.62,Found,1995,11384,-85.66667,175
Grosvenor Mountains 95622,L6,57.6,Found,1995,11349,-85.66667,175
Grosvenor Mountains 95647,LL6,57.1,Found,1995,11373,-85.66667,175
Grosvenor Mountains 95535,Howardite,53.8,Found,1995,11263,-85.66667,175
Grosvenor Mountains 95576,L6,53.4,Found,1995,11304,-85.66667,175
Grosvenor Mountains 95626,EL6,52.2,Found,1995,11353,-85.66667,175
Grosvenor Mountains 95602,Howardite,51.5,Found,1995,11330,-85.66667,175
Grosvenor Mountains 95571,L5,51.4,Found,1995,11299,-85.66667,175
Grosvenor Mountains 95566,C2-ung,50.7,Found,1995,11294,-85.66667,175
Grosvenor Mountains 95581,Howardite,49.4,Found,1995,11309,-85.66667,175
Grosvenor Mountains 95569,L6,46.6,Found,1995,11297,-85.66667,175
Grosvenor Mountains 95612,L6,43.6,Found,1995,11340,-85.66667,175
Grosvenor Mountains 95663,L6,43.4,Found,1995,11389,-85.66667,175
