name,recclass,mass,fall,year,id,latitude,longitude,country_code
Elephant Moraine 90221,L6,67.3,Found,1990,8630,-76.28479,156.50302,AQ
Elephant Moraine 87756,L6,170.5,Found,1987,8306,-76.27559,156.50264,AQ
Elephant Moraine 90874,L6,30.9,Found,1990,9283,-76.27403,156.50263,AQ
Elephant Moraine 87587,L6,102.6,Found,1987,8137,-76.27598,156.50251,AQ
Elephant Moraine 90495,L4,96.8,Found,1990,8904,-76.27353,156.50226,AQ
Elephant Moraine 90159,L6,47.1,Found,1990,8568,-76.27837,156.50225,AQ
Elephant Moraine 90484,L6,93.6,Found,1990,8893,-76.27389,156.50221,AQ
Elephant Moraine 90216,L6,28.9,Found,1990,8625,-76.2719,156.502,AQ
Elephant Moraine 90166,H6,104.2,Found,1990,8575,-76.28286,156.50181,AQ
Elephant Moraine 87569,L6,211.3,Found,1987,8119,-76.27543,156.50174,AQ
Elephant Moraine 87527,CK5,5.8,Found,1987,8077,-76.27543,156.50174,AQ
Elephant Moraine 90081,L6,39.1,Found,1990,8490,-76.28072,156.50143,AQ
Elephant Moraine 90199,L6,27.9,Found,1990,8608,-76.27913,156.50143,AQ
Elephant Moraine 90864,L6,3.7,Found,1990,9273,-76.27481,156.50133,AQ
Elephant Moraine 90151,H6,17.9,Found,1990,8560,-76.26864,156.5012,AQ
Elephant Moraine 87619,L6,9.1,Found,1987,8169,-76.27602,156.50089,AQ
Elephant Moraine 90850,L6,19.7,Found,1990,9259,-76.27994,156.50071,AQ
Allan Hills 85063,L6,12.7,Found,1985,929,-76.86188,156.50066,AQ
Elephant Moraine 90204,L6,143.4,Found,1990,8613,-76.27493,156.50063,AQ
Elephant Moraine 90226,L6,22.4,Found,1990,8635,-76.27407,156.50042,AQ
Elephant Moraine 90896,H5,13.9,Found,1990,9305,-76.2806,156.49971,AQ
Elephant Moraine 90172,L6,15.3,Found,1990,8581,-76.27937,156.49958,AQ
Elephant Moraine 90881,L6,19.8,Found,1990,9290,-76.27835,156.49957,AQ
Elephant Moraine 90224,L6,8.7,Found,1990,8633,-76.27591,156.49937,AQ
Elephant Moraine 90181,L6,15.4,Found,1990,8590,-76.27466,156.49913,AQ
Allan Hills 85158,LL6,2.9,Found,1985,1023,-76.87787,156.49901,AQ
Elephant Moraine 90915,L6,6.1,Found,1990,9324,-76.26869,156.49893,AQ
Allan Hills 85157,L6,20.1,Found,1985,1022,-76.89897,156.49871,AQ
Elephant Moraine 90906,L6,9.8,Found,1990,9315,-76.27316,156.49865,AQ
Elephant Moraine 90191,L6,11,Found,1990,8600,-76.27628,156.49863,AQ
Elephant Moraine 90489,L6,48.8,Found,1990,8898,-76.28322,156.49848,AQ
Elephant Moraine 90223,L6,21,Found,1990,8632,-76.27901,156.49837,AQ
Elephant Moraine 90865,L6,9.6,Found,1990,9274,-76.27276,156.4982,AQ
Elephant Moraine 90909,L3.6,6.4,Found,1990,9318,-76.26825,156.49748,AQ
Allan Hills 85050,L6,0.9,Found,1985,916,-76.87869,156.49742,AQ
Elephant Moraine 90178,H5,280.4,Found,1990,8587,-76.26709,156.49726,AQ
Elephant Moraine 87502,L6,1810.1,Found,1987,8053,-76.28503,156.49716,AQ
Elephant Moraine 90185,L6,21.9,Found,1990,8594,-76.27695,156.49708,AQ
Elephant Moraine 90160,L6,21.3,Found,1990,8569,-76.28279,156.49686,AQ
Elephant Moraine 90189,L6,7.8,Found,1990,8598,-76.28077,156.4968,AQ
Elephant Moraine 90219,L6,8.6,Found,1990,8628,-76.27327,156.49641,AQ
Elephant Moraine 90854,L6,49.8,Found,1990,9263,-76.28264,156.49639,AQ
Elephant Moraine 90869,L6,23.8,Found,1990,9278,-76.28538,156.4963,AQ
Elephant Moraine 87577,H5,147.9,Found,1987,8127,-76.26584,156.49606,AQ
Elephant Moraine 87626,L6,71.9,Found,1987,8176,-76.27909,156.49604,AQ
Elephant Moraine 90212,H5,11.5,Found,1990,8621,-76.26861,156.49583,AQ
Elephant Moraine 90757,Aubrite,3.7,Found,1990,9166,-76.28575,156.49583,AQ
Elephant Moraine 90149,L6,175.4,Found,1990,8558,-76.26985,156.49568,AQ
Elephant Moraine 90892,L6,36.9,Found,1990,9301,-76.27089,156.4956,AQ
Elephant Moraine 90206,L6,25.6,Found,1990,8615,-76.28591,156.49551,AQ
Elephant Moraine 90225,L6,2.2,Found,1990,8634,-76.26813,156.49546,AQ
Elephant Moraine 90832,L6,59.9,Found,1990,9241,-76.28238,156.49532,AQ
Elephant Moraine 90907,L6,30.1,Found,1990,9316,-76.28118,156.49524,AQ
